n,blocks,ears per block,time
2,1.0,0.0,9.970000000000001e-05
3,1.0,2.0,9.970000000000001e-05
4,1.0,6.0,0.00039920000000000005
5,1.0,12.0,0.0001986
6,1.0,20.0,0.0004987
7,1.0,30.0,0.0004988
8,1.0,42.0,0.0006980999999999999
9,1.0,56.0,0.000698
10,1.0,72.0,0.0005983000000000001
11,1.0,90.0,0.0012965000000000001
12,1.0,110.0,0.0014956
13,1.0,132.0,0.0017924
14,1.0,156.0,0.0018949999999999995
15,1.0,182.0,0.0024931999999999997
16,1.0,210.0,0.0028921000000000003
17,1.0,240.0,0.0037899
18,1.0,272.0,0.004769799999999999
19,1.0,306.0,0.0053855
20,1.0,342.0,0.006482700000000001
21,1.0,380.0,0.0076789
22,1.0,420.0,0.013064799999999998
23,1.0,462.0,0.010628
24,1.0,506.0,0.012270000000000003
25,1.0,552.0,0.014164800000000002
26,1.0,600.0,0.016154599999999998
27,1.0,650.0,0.018550199999999996
28,1.0,702.0,0.021040999999999997
29,1.0,756.0,0.024238600000000006
30,1.0,812.0,0.030718000000000002
31,1.0,870.0,0.0372975
32,1.0,930.0,0.0408906
33,1.0,992.0,0.0457336
34,1.0,1056.0,0.0504329
35,1.0,1122.0,0.05614290000000001
36,1.0,1190.0,0.0662274
37,1.0,1260.0,0.0691993
38,1.0,1332.0,0.0703129
39,1.0,1406.0,0.07911209999999999
40,1.0,1482.0,0.084784
41,1.0,1560.0,0.0952953
42,1.0,1640.0,0.10478430000000001
43,1.0,1722.0,0.1133197
44,1.0,1806.0,0.123947
45,1.0,1892.0,0.1355443
46,1.0,1980.0,0.15125919999999998
47,1.0,2070.0,0.16787169999999998
48,1.0,2162.0,0.1869831
49,1.0,2256.0,0.1992402
50,1.0,2352.0,0.2152231
51,1.0,2450.0,0.23179370000000002
52,1.0,2550.0,0.24900989999999998
53,1.0,2652.0,0.2697672
54,1.0,2756.0,0.2918864
55,1.0,2862.0,0.3152018
56,1.0,2970.0,0.332125
57,1.0,3080.0,0.3559342
58,1.0,3192.0,0.3847928
59,1.0,3306.0,0.4136012
60,1.0,3422.0,0.4435167
61,1.0,3540.0,0.4760492
62,1.0,3660.0,0.5033239
63,1.0,3782.0,0.5379029999999999
64,1.0,3906.0,0.5731094
65,1.0,4032.0,0.609538
66,1.0,4160.0,0.6513306000000001
67,1.0,4290.0,0.6912666
68,1.0,4422.0,0.7354925
69,1.0,4556.0,0.7707091
70,1.0,4692.0,0.8165626999999999
71,1.0,4830.0,0.8649321999999999
72,1.0,4970.0,0.9361206000000001
73,1.0,5112.0,1.0158986
74,1.0,5256.0,1.0271496
75,1.0,5402.0,1.0820937000000002
76,1.0,5550.0,1.1325844000000003
77,1.0,5700.0,1.1971712999999997
78,1.0,5852.0,1.2635049
79,1.0,6006.0,1.3261882
80,1.0,6162.0,1.3948940000000003
81,1.0,6320.0,1.4712312
82,1.0,6480.0,1.5467446000000002
83,1.0,6642.0,1.6172471000000002
84,1.0,6806.0,1.7070159
85,1.0,6972.0,1.7900978000000003
86,1.0,7140.0,1.8986781000000001
87,1.0,7310.0,1.9706261
88,1.0,7482.0,2.0764852000000005
89,1.0,7656.0,2.1825895
90,1.0,7832.0,2.2818869
91,1.0,8010.0,2.3807987000000006
92,1.0,8190.0,2.495085
93,1.0,8372.0,2.6015067000000003
94,1.0,8556.0,2.7463835
95,1.0,8742.0,2.8563935000000003
96,1.0,8930.0,2.9625121
97,1.0,9120.0,3.1091268
98,1.0,9312.0,3.2310844000000003
99,1.0,9506.0,3.3848715
