n,blocks,ears per block,time
1,1.0,2.0,0.0
2,1.0,1.0,0.0
3,1.0,4.0,0.0002412
4,1.0,5.0,9.970000000000001e-05
5,1.0,6.0,9.970000000000001e-05
6,1.0,7.0,0.00019940000000000002
7,1.0,8.0,9.970000000000001e-05
8,1.0,9.0,0.00029930000000000007
9,1.0,10.0,0.0005984
10,1.0,11.0,0.0001996
11,1.0,12.0,0.0008532999999999999
12,1.0,13.0,0.0004976000000000001
13,1.0,14.0,0.0005984
14,1.0,15.0,0.0009974
15,1.0,16.0,0.00039890000000000005
16,1.0,17.0,0.0009974
17,1.0,18.0,0.0007719999999999999
18,1.0,19.0,0.0008974999999999999
19,1.0,20.0,0.0007892
20,1.0,21.0,0.0008977000000000001
21,1.0,22.0,0.0013961
22,1.0,23.0,0.000954
23,1.0,24.0,0.0007974
24,1.0,25.0,0.0011969
25,1.0,26.0,0.0011970000000000001
26,1.0,27.0,0.0011960999999999999
27,1.0,28.0,0.0014961
28,1.0,29.0,0.0010979999999999998
29,1.0,30.0,0.0011967999999999998
30,1.0,31.0,0.0013965
31,1.0,32.0,0.0013022
32,1.0,33.0,0.0013294000000000001
33,1.0,34.0,0.0013965
34,1.0,35.0,0.0022949000000000008
35,1.0,36.0,0.0012735
36,1.0,37.0,0.0016952999999999998
37,1.0,38.0,0.0012963
38,1.0,39.0,0.0022596
39,1.0,40.0,0.0018378
40,1.0,41.0,0.0018459
41,1.0,42.0,0.001678
42,1.0,43.0,0.0019944999999999997
43,1.0,44.0,0.0019951
44,1.0,45.0,0.0018948999999999997
45,1.0,46.0,0.0016493
46,1.0,47.0,0.0020976
47,1.0,48.0,0.0017796000000000003
48,1.0,49.0,0.0020945
49,1.0,50.0,0.0020944
50,1.0,51.0,0.0017953
51,1.0,52.0,0.0024933
52,1.0,53.0,0.0021057000000000003
53,1.0,54.0,0.0024201000000000005
54,1.0,55.0,0.0022938
55,1.0,56.0,0.0021941
56,1.0,57.0,0.0020945
57,1.0,58.0,0.0078558
58,1.0,59.0,0.0019950000000000002
59,1.0,60.0,0.0025933
60,1.0,61.0,0.0024934
61,1.0,62.0,0.004911199999999999
62,1.0,63.0,0.0023057999999999998
63,1.0,64.0,0.0026604
64,1.0,65.0,0.0025326999999999997
65,1.0,66.0,0.0030718000000000004
66,1.0,67.0,0.004940000000000001
67,1.0,68.0,0.0028267999999999995
68,1.0,69.0,0.0029527999999999998
69,1.0,70.0,0.0032159
70,1.0,71.0,0.0027616000000000003
71,1.0,72.0,0.005465599999999999
72,1.0,73.0,0.0032354000000000003
73,1.0,74.0,0.0029929
74,1.0,75.0,0.0030610999999999998
75,1.0,76.0,0.0030975000000000004
76,1.0,77.0,0.0032273999999999996
77,1.0,78.0,0.006055700000000001
78,1.0,79.0,0.0032738999999999997
79,1.0,80.0,0.0036746
80,1.0,81.0,0.005771900000000001
81,1.0,82.0,0.004072
82,1.0,83.0,0.0036026
83,1.0,84.0,0.0068191
84,1.0,85.0,0.0051231
85,1.0,86.0,0.003988
86,1.0,87.0,0.004175899999999999
87,1.0,88.0,0.006193100000000001
88,1.0,89.0,0.0036819000000000005
89,1.0,90.0,0.0041745
90,1.0,91.0,0.007507
91,1.0,92.0,0.0037199000000000004
92,1.0,93.0,0.0040638
93,1.0,94.0,0.004818500000000001
94,1.0,95.0,0.0070101
95,1.0,96.0,0.0046258
96,1.0,97.0,0.0042492
97,1.0,98.0,0.0048848
98,1.0,99.0,0.007691300000000001
99,1.0,100.0,0.004888399999999999
