coef,result,time
0.0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.0041595849999999995
0.01,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.005546494
0.02,"[[], [[38, 29, 36, 10, 59, 25, 38, 22, 73, 1]], [[60, 68, 40, 7, 67, 60, 44, 52, 2]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.012727531999999996
0.03,"[[[0, 73, 9, 47, 8, 43, 2, 32, 28, 40, 42, 13, 39, 1, 34, 11, 30, 62, 63, 4, 0], [30, 28], [34, 53, 19, 60, 9], [39, 51, 13], [28, 70, 43], [32, 53]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.015606073999999994
0.04,"[[[0, 59, 63, 23, 37, 54, 12, 1, 24, 74, 56, 2, 35, 57, 6, 13, 0], [0, 69, 17, 3, 30, 7, 66, 16, 33, 49, 55, 11, 32, 48, 34, 28, 14, 59], [6, 67, 4, 2], [57, 72, 11], [35, 12], [35, 37], [35, 74], [2, 58, 29, 71, 9, 64, 22, 38, 69], [74, 41, 61, 51, 3], [24, 8, 41], [24, 64], [24, 70, 15, 18, 71], [12, 71], [54, 45, 15], [54, 72], [37, 55], [63, 66], [59, 73, 61], [14, 72], [48, 60, 11], [32, 41], [32, 58], [55, 66], [33, 58], [33, 70], [66, 44, 41], [7, 68, 30]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.013320992000000007
0.05,"[[[0, 57, 2, 21, 45, 43, 35, 27, 26, 51, 68, 5, 38, 53, 4, 9, 6, 30, 36, 39, 19, 15, 56, 16, 48, 10, 18, 33, 17, 20, 23, 32, 34, 12, 8, 3, 47, 0], [0, 73, 13, 45], [47, 37, 49, 22, 74, 58, 60, 52, 70, 7, 73], [47, 43], [47, 55, 43], [3, 22], [3, 26], [3, 43], [8, 26], [8, 36], [12, 37], [34, 50, 11, 55], [32, 35], [32, 39], [32, 61, 58], [32, 67, 2], [20, 43], [20, 58], [20, 65, 73], [17, 65], [17, 74], [33, 22], [33, 28, 38], [33, 35], [33, 63, 28], [18, 30], [10, 51], [10, 62, 5], [48, 36], [48, 38], [48, 42, 44, 64, 49], [48, 55], [56, 25, 69, 54, 71, 24, 66, 50], [56, 35], [56, 50], [56, 72, 42], [15, 29, 27], [15, 38], [15, 46, 63], [15, 55], [19, 50], [39, 44], [39, 51], [39, 73], [36, 53], [30, 9], [30, 63], [30, 71], [9, 37], [9, 52], [9, 63], [9, 66], [9, 71], [53, 51], [53, 73], [38, 29], [38, 37], [38, 70], [38, 73], [5, 70], [26, 70], [26, 71], [26, 74], [35, 49], [45, 59, 74], [73, 70], [70, 61], [11, 54]], [], [], [], [], []]",0.010120586999999997
0.06,"[[[0, 24, 30, 18, 34, 71, 32, 3, 20, 4, 29, 27, 52, 5, 63, 38, 13, 26, 36, 14, 64, 1, 12, 21, 0], [0, 67, 51, 57, 56, 2, 10, 15, 48, 49, 35, 9, 66, 7, 6, 65, 19, 46, 11, 22, 8, 43, 31, 33, 45, 24], [21, 29], [21, 57], [21, 68, 59, 23, 67], [21, 73, 58, 25, 51], [12, 4], [12, 35], [12, 42, 59], [12, 46], [12, 49], [12, 51], [12, 72, 40, 59], [1, 74, 59], [64, 17, 10], [64, 37, 56], [64, 48], [64, 49], [14, 38], [14, 53, 9], [14, 55, 16, 60, 61, 41, 68], [14, 63], [36, 44, 68], [36, 53], [36, 67], [26, 32], [26, 45], [26, 63], [26, 74], [63, 15], [63, 22], [63, 32], [63, 35], [63, 37], [63, 50, 23], [63, 57], [5, 67], [5, 72], [5, 73], [52, 35], [52, 37], [52, 46], [52, 49], [52, 59], [52, 74], [27, 53], [27, 71], [29, 15], [29, 33], [29, 37], [29, 41], [4, 33], [4, 45], [4, 66], [4, 71], [20, 15], [20, 23], [20, 67], [3, 53], [3, 55], [3, 62, 2], [3, 66], [32, 72], [71, 48], [71, 56], [71, 59], [71, 69, 28, 72], [34, 47, 57], [34, 74], [18, 53], [30, 31], [30, 48], [30, 73], [24, 61], [24, 73], [33, 42], [33, 50], [31, 44], [31, 62], [43, 50], [43, 57], [43, 58], [8, 50], [22, 41], [11, 60], [46, 58], [65, 7], [65, 15], [65, 73], [6, 49], [6, 74], [7, 73], [9, 68], [35, 51], [49, 72], [48, 51], [48, 62], [48, 72], [48, 73], [15, 17], [15, 23], [2, 72], [57, 67], [51, 73], [67, 55]], [], [], []]",0.008062584000000001
0.07,"[[[0, 68, 8, 14, 19, 18, 43, 16, 51, 10, 6, 30, 15, 7, 22, 1, 5, 4, 0], [4, 8], [4, 14], [4, 15], [4, 20, 68], [4, 29, 72, 33, 42, 28, 39, 23, 35, 37, 12, 34, 60, 3, 52, 25, 21, 38, 11, 27, 26, 24, 20], [4, 41, 2, 36, 45, 50, 54, 66, 74, 17, 46, 29], [4, 47, 61, 70, 40, 57, 53, 44, 31, 41], [4, 56, 47], [5, 9, 68], [5, 21], [5, 43], [5, 45], [5, 56], [1, 38], [1, 56], [1, 57], [1, 61], [22, 20], [22, 35], [7, 41], [7, 51], [7, 59, 49, 31], [15, 36], [15, 41], [15, 46], [15, 61], [15, 74], [6, 25], [6, 27], [6, 37], [6, 56], [10, 53], [10, 56], [10, 69, 47], [51, 18], [51, 19], [51, 21], [51, 35], [51, 39], [51, 44], [51, 56], [16, 52], [16, 66], [16, 68], [43, 55, 49], [43, 64, 31], [18, 29], [18, 45], [18, 47], [18, 65, 31], [18, 74], [19, 42], [19, 67, 32, 65], [14, 27], [14, 44], [14, 47], [14, 60], [14, 61], [68, 31], [68, 46], [68, 50], [68, 65], [68, 71, 23], [68, 73, 57], [20, 26], [20, 31], [20, 41], [24, 29], [24, 38], [24, 39], [24, 44], [24, 48, 26], [24, 67], [24, 69], [26, 53], [26, 72], [27, 52], [27, 56], [27, 63, 59], [27, 66], [38, 49], [38, 53], [21, 45], [21, 55], [21, 70], [25, 56], [52, 72], [52, 73], [60, 46], [60, 61], [60, 62, 57], [34, 31], [34, 59], [34, 63], [12, 55], [12, 56], [37, 54], [37, 61], [23, 45], [23, 46], [23, 58, 70], [39, 44], [39, 63], [39, 66], [39, 70], [39, 73], [28, 54], [42, 45], [42, 46], [42, 57], [72, 45], [72, 56], [72, 74], [29, 63], [29, 70], [46, 45], [46, 53], [46, 70], [66, 55], [66, 59], [66, 61], [50, 70], [50, 73], [45, 63], [36, 47], [36, 53], [36, 73], [2, 55], [2, 65], [41, 65], [44, 56], [44, 58], [44, 62], [49, 63]], []]",0.006367970999999999
0.08,"[[[0, 57, 48, 65, 14, 23, 44, 19, 27, 17, 30, 32, 70, 31, 29, 45, 26, 11, 37, 10, 20, 33, 28, 16, 1, 7, 15, 38, 22, 56, 18, 51, 46, 4, 13, 24, 25, 2, 64, 6, 35, 21, 5, 3, 12, 8, 43, 0], [0, 71, 15], [43, 25], [43, 30], [43, 53, 34, 63, 69, 54, 57], [43, 72, 27], [43, 73, 65], [8, 14], [8, 25], [8, 28], [8, 60, 57], [8, 67, 36, 34], [12, 9, 39, 34], [12, 15], [12, 16], [12, 49, 47, 59, 40, 60], [12, 52, 60], [12, 61, 49], [12, 71], [3, 30], [3, 47], [3, 61], [3, 62, 67], [3, 73], [5, 30], [21, 38], [21, 55, 14], [21, 56], [21, 67], [21, 68, 30], [35, 15], [35, 19], [35, 49], [35, 69], [35, 73], [6, 69], [64, 10], [64, 17], [64, 39], [64, 63], [64, 72], [2, 40], [2, 55], [2, 62], [2, 72], [25, 27], [25, 28], [25, 30], [25, 38], [25, 39], [25, 55], [25, 66, 47], [24, 16], [24, 18], [24, 29], [24, 42, 49], [24, 45], [24, 54], [24, 69], [13, 11], [13, 22], [13, 34], [13, 41, 14], [46, 58, 61], [46, 63], [51, 19], [51, 22], [51, 36], [51, 41], [51, 54], [51, 58], [51, 61], [51, 69], [18, 60], [18, 69], [18, 74, 17], [56, 26], [56, 45], [56, 49], [56, 53], [56, 66], [22, 48], [22, 66], [22, 68], [38, 52], [38, 70], [15, 11], [15, 33], [15, 48], [15, 49], [15, 55], [15, 66], [7, 14], [7, 42], [7, 54], [7, 63], [16, 30], [16, 59], [16, 72], [28, 39], [28, 73], [33, 29], [33, 74], [20, 29], [20, 74], [10, 69], [37, 29], [37, 34], [37, 67], [11, 34], [11, 49], [11, 53], [26, 49], [26, 73], [45, 40], [45, 47], [45, 60], [45, 70], [29, 53], [29, 58], [29, 68], [70, 57], [70, 67], [32, 72], [32, 74], [30, 23], [30, 40], [30, 66], [17, 54], [17, 60], [27, 65], [19, 57], [44, 55], [44, 59], [44, 67], [23, 39], [65, 63], [48, 60], [69, 67], [63, 62], [34, 62]], []]",0.005288266000000001
0.09,"[[[0, 22, 51, 23, 34, 52, 20, 28, 10, 25, 42, 48, 36, 31, 12, 13, 2, 27, 43, 30, 29, 16, 9, 1, 3, 5, 21, 8, 11, 4, 7, 18, 33, 19, 0], [0, 26, 14, 40, 56, 15, 37, 22], [0, 39, 38, 44, 6, 46, 26], [0, 42], [0, 46], [0, 57, 38], [0, 73, 38], [19, 34], [19, 45, 17, 32, 72, 55, 66, 60, 39], [19, 49, 64, 56], [19, 71, 16], [19, 72], [19, 73], [33, 43], [33, 49], [33, 51], [33, 54, 45], [18, 11], [18, 27], [18, 51], [18, 60], [18, 69, 66], [18, 70, 58, 54], [7, 20], [7, 22], [7, 35, 6], [7, 43], [7, 50, 68, 17], [7, 55], [7, 70], [4, 13], [4, 22], [4, 26], [4, 39], [4, 54], [4, 66], [4, 69], [11, 13], [11, 43], [11, 52], [11, 72], [8, 26], [8, 39], [8, 42], [8, 60], [8, 71], [8, 74, 50], [21, 6], [21, 10], [21, 55], [21, 73], [5, 15], [5, 61, 60], [5, 65, 37], [3, 9], [3, 14], [3, 15], [3, 37], [3, 39], [3, 65], [1, 13], [1, 16], [1, 25], [1, 59, 66], [1, 61], [9, 20], [9, 36], [9, 56], [9, 70], [16, 34], [16, 37], [16, 48], [16, 54], [16, 56], [16, 70], [29, 37], [29, 54], [29, 58], [29, 62, 45], [29, 74], [30, 44], [30, 58], [30, 62], [30, 63, 32], [30, 72], [43, 37], [43, 47, 69], [43, 50], [43, 70], [27, 10], [27, 14], [27, 72], [2, 17], [2, 23], [13, 48], [13, 51], [13, 65], [31, 39], [31, 53, 55], [31, 56], [36, 53], [36, 54], [36, 58], [48, 51], [48, 66], [48, 70], [48, 74], [42, 35], [42, 67, 38], [25, 24, 74], [25, 35], [25, 45], [25, 52], [25, 56], [25, 63], [25, 64], [25, 66], [10, 38], [10, 67], [28, 37], [20, 53], [20, 61], [20, 63], [20, 65], [20, 70], [52, 47], [52, 51], [52, 58], [52, 64], [52, 66], [34, 32], [34, 54], [34, 55], [34, 66], [34, 67], [34, 69], [23, 64], [23, 69], [51, 35], [51, 39], [51, 45], [51, 46], [51, 65], [37, 49], [37, 50], [37, 57], [37, 62], [37, 66], [15, 59], [15, 63], [15, 73], [40, 44], [40, 59], [40, 69], [14, 39], [14, 47], [14, 59], [14, 67], [14, 69], [14, 70], [14, 74], [26, 50], [26, 68], [26, 70], [26, 74], [46, 67], [46, 69], [6, 54], [44, 47], [44, 63], [38, 47], [32, 68], [45, 70], [68, 74]], []]",0.005249294000000001
