coef,result,time
0.0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.004168014000000001
0.01,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.0068549360000000024
0.02,"[[], [[1, 12, 43, 10, 57, 34, 60, 18, 5, 1], [60, 36, 67, 6, 19, 38, 45, 8, 12], [12, 19]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.017371635999999996
0.03,"[[[0, 15, 35, 9, 52, 18, 14, 4, 0], [0, 48, 22, 15], [4, 23, 36, 68, 3, 5, 17, 31, 37, 39, 25, 7, 27, 32, 29, 28, 48], [14, 19, 32], [14, 38, 73, 40, 54, 63, 68], [14, 45, 40], [14, 62, 6, 38], [52, 10, 73], [52, 45], [52, 50, 22], [9, 71, 38], [35, 17], [35, 46, 38], [15, 42, 32], [48, 36], [48, 55, 43, 59, 67, 61, 2, 70, 34, 6], [29, 62], [27, 68], [39, 51, 68], [37, 34], [31, 21, 58, 36], [31, 64, 66, 2], [17, 57, 44, 16, 74, 61], [17, 60, 49, 23], [63, 57], [63, 72, 2], [34, 72], [70, 61]], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.01848994999999999
0.04,"[[[0, 35, 71, 45, 64, 46, 15, 61, 72, 18, 37, 74, 23, 54, 41, 6, 17, 13, 28, 8, 4, 3, 63, 2, 44, 34, 30, 7, 5, 20, 9, 36, 11, 55, 19, 12, 31, 14, 49, 16, 69, 10, 0], [0, 36], [0, 59, 40, 50, 39, 66, 45], [0, 69], [10, 72], [10, 74], [69, 53, 33, 35], [69, 58, 7], [16, 61], [16, 71], [49, 48, 4], [49, 67, 58], [14, 45], [14, 54], [31, 56, 67], [31, 60, 46], [12, 28], [12, 30], [12, 67], [55, 66], [11, 48], [11, 64], [36, 20], [36, 48], [36, 68, 40], [20, 27, 54], [20, 29, 56], [20, 39], [20, 46], [5, 17], [5, 30], [5, 39], [5, 42, 72], [5, 46], [7, 67], [30, 72], [34, 66], [44, 21, 8], [44, 51, 8], [63, 64], [3, 8], [3, 25, 21], [3, 35], [4, 18], [4, 33], [8, 57, 53], [28, 27], [28, 37], [28, 39], [28, 42], [13, 42], [17, 23], [17, 27], [6, 72], [41, 62, 27]], [], [], [], [], [], [], [], [], [], [], [], []]",0.014922419000000006
0.05,"[[[0, 24, 8, 20, 10, 15, 13, 51, 36, 14, 41, 38, 1, 40, 11, 37, 33, 12, 9, 48, 17, 0], [0, 35, 23, 26, 16, 31, 63, 28, 7, 68, 57, 50, 2, 45, 19, 5, 4, 3, 24], [0, 40], [0, 47, 53, 52, 46, 74, 55, 25, 42, 44, 32, 54, 26], [17, 52], [17, 54], [17, 72, 44], [48, 10], [48, 46], [48, 57], [48, 59, 38], [48, 61, 34, 58, 70, 47], [48, 73, 53], [9, 22, 42], [9, 36], [9, 54], [9, 66, 27, 47], [12, 59], [12, 62, 69, 73], [33, 40], [33, 67, 64, 43, 47], [37, 40], [37, 62], [11, 68], [11, 72], [40, 16], [40, 24], [40, 53], [40, 59], [1, 44], [1, 46], [1, 59], [1, 68], [38, 53], [38, 61], [38, 62], [41, 19], [41, 32], [41, 44], [41, 46], [14, 56, 52], [51, 56], [51, 63], [13, 60, 70], [13, 61], [15, 69], [10, 26], [10, 46], [10, 53], [10, 62], [20, 52], [8, 45], [8, 47], [8, 53], [8, 73], [24, 4], [24, 26], [24, 54], [3, 34], [4, 28], [4, 42], [4, 54], [5, 56], [19, 65, 7], [19, 70], [45, 31], [45, 61], [2, 69], [50, 60], [68, 54], [68, 67], [7, 56], [7, 61], [7, 64], [28, 73], [63, 44], [31, 22], [31, 34], [31, 46], [16, 61], [54, 67], [32, 52], [32, 69], [44, 43], [44, 60], [25, 74], [53, 70]], [], [], [], [], [], [], [], []]",0.012308458
0.06,"[[[0, 19, 18, 20, 12, 7, 28, 45, 4, 1, 15, 52, 2, 17, 0], [0, 26, 33, 30, 25, 23, 29, 62, 13, 14, 53, 3, 9, 37, 22, 5, 19], [0, 49, 16, 44, 31, 34, 6, 36, 35, 40, 8, 42, 21, 55, 11, 58, 54, 43, 33], [0, 57, 49], [0, 72, 61, 56, 10, 57], [0, 73, 31], [17, 13], [17, 33], [17, 41, 46, 24, 68, 50, 39, 10], [2, 59, 18], [2, 62], [52, 25], [52, 34], [52, 56], [15, 19], [15, 22], [15, 40], [15, 43], [15, 70, 46], [1, 16], [1, 29], [1, 44], [1, 54], [4, 50], [4, 62], [45, 32, 42], [28, 66, 56], [7, 20], [7, 36], [7, 56], [7, 69, 34], [12, 21], [12, 23], [12, 40], [20, 42], [20, 55], [20, 61], [20, 71, 44], [18, 38, 10], [19, 16], [19, 21], [19, 33], [19, 47, 61], [5, 24], [5, 60, 47], [5, 61], [5, 68], [5, 70], [22, 43], [22, 44], [22, 55], [9, 6], [9, 11], [9, 42], [9, 71], [3, 61], [3, 69], [53, 67, 68], [53, 68], [14, 23], [14, 58], [62, 57], [62, 69], [29, 32], [29, 40], [29, 57], [23, 70], [23, 71], [23, 73], [25, 31], [25, 35], [25, 58], [25, 64, 46], [25, 68], [30, 73], [30, 74, 67], [33, 60], [43, 70], [58, 31], [58, 63, 64], [58, 66], [58, 72], [58, 73], [11, 57], [11, 61], [42, 35], [42, 57], [42, 66], [8, 72], [40, 56], [35, 74], [36, 31], [36, 61], [36, 63], [36, 66], [36, 74], [34, 67], [31, 60], [31, 66], [44, 39], [44, 61], [44, 72], [49, 63], [57, 61], [10, 46], [10, 67], [10, 72], [68, 46], [24, 64]], [], [], [], []]",0.009716721000000001
0.07,"[[[0, 22, 51, 33, 4, 53, 26, 18, 32, 28, 11, 5, 47, 2, 39, 27, 16, 10, 41, 1, 54, 40, 21, 35, 23, 8, 9, 15, 3, 12, 30, 20, 24, 7, 13, 0], [0, 31, 58, 45, 17, 25, 50, 36, 43, 14, 22], [0, 57, 65, 67, 29, 34, 49, 70, 48, 46, 38, 44, 31], [13, 45], [13, 48], [13, 59, 24], [13, 65], [7, 34], [7, 37, 61, 64, 66, 70], [7, 50], [7, 52, 48], [24, 26], [24, 52], [24, 63, 72, 65], [24, 69, 44], [20, 37], [20, 44], [20, 56, 38], [30, 17], [30, 31], [30, 36], [30, 47], [30, 56], [30, 64], [12, 5], [12, 29], [12, 32], [12, 45], [12, 57], [12, 61], [3, 40], [3, 64], [15, 38], [15, 62, 58], [15, 67], [9, 38], [9, 40], [9, 49], [9, 52], [8, 29], [8, 44], [23, 41], [23, 50], [23, 63], [23, 70], [35, 28], [35, 40], [35, 53], [35, 71, 37], [35, 73, 72], [40, 57], [54, 34], [54, 68, 65], [54, 74, 68], [1, 66], [1, 71], [1, 73], [41, 29], [41, 50], [41, 53], [41, 67], [10, 27], [10, 36], [16, 38], [16, 48], [16, 55, 72], [16, 69], [39, 5], [39, 29], [39, 32], [39, 36], [39, 61], [2, 51], [2, 56], [47, 28], [47, 34], [47, 66], [5, 14], [5, 53], [5, 58], [11, 63], [28, 42, 60, 57], [28, 48], [28, 58], [32, 52], [32, 73], [18, 60], [18, 67], [18, 70], [26, 69], [53, 14], [53, 29], [4, 34], [4, 36], [4, 50], [4, 66], [4, 73], [33, 69], [51, 55], [22, 62], [22, 73], [14, 57], [14, 66], [43, 42], [43, 50], [36, 57], [36, 73], [50, 34], [50, 46], [50, 58], [50, 72], [25, 63], [17, 49], [17, 73], [45, 60], [45, 62], [45, 64], [45, 66], [58, 34], [58, 63], [31, 46], [31, 52], [34, 67]], [], []]",0.007546626999999998
0.08,"[[[0, 36, 63, 32, 62, 56, 55, 64, 26, 47, 58, 29, 59, 65, 48, 43, 53, 28, 22, 50, 54, 41, 15, 42, 72, 39, 8, 25, 34, 40, 27, 37, 38, 49, 10, 21, 20, 2, 19, 31, 33, 16, 17, 14, 11, 60, 13, 35, 6, 3, 1, 24, 7, 12, 4, 9, 23, 0], [23, 37], [23, 43], [23, 48], [23, 51, 46, 26], [23, 60], [9, 14], [9, 17], [9, 28], [9, 30, 53], [9, 37], [9, 41], [9, 53], [9, 60], [9, 63], [9, 68, 18, 58], [4, 16], [4, 20], [4, 33], [4, 56], [4, 73, 28], [12, 21], [12, 22], [12, 27], [12, 60], [12, 61, 55], [12, 69, 71, 63], [7, 30], [7, 37], [7, 44, 36], [7, 48], [7, 57, 36], [7, 74, 51], [24, 10], [24, 42], [24, 48], [24, 50], [24, 57], [1, 18], [1, 19], [1, 20], [1, 29], [1, 32], [1, 40], [1, 41], [1, 42], [1, 58], [1, 73], [3, 15], [3, 16], [3, 27], [3, 34], [3, 47], [3, 68], [6, 50], [6, 56], [6, 58], [6, 61], [6, 67, 57], [6, 69], [35, 17], [35, 43], [35, 46], [35, 72], [13, 68], [60, 20], [60, 30], [60, 49], [60, 66, 62], [11, 19], [11, 32], [11, 44], [11, 47], [14, 61], [17, 18], [17, 26], [17, 42], [17, 44], [17, 46], [17, 54], [17, 67], [16, 61], [33, 45, 44], [33, 54], [33, 55], [33, 56], [33, 67], [31, 43], [31, 54], [31, 66], [19, 32], [19, 43], [19, 56], [19, 58], [19, 73], [2, 41], [2, 47], [2, 56], [2, 69], [2, 71], [20, 44], [20, 45], [20, 63], [20, 66], [20, 70, 66], [21, 26], [21, 38], [10, 55], [10, 69], [10, 73], [49, 55], [49, 62], [49, 63], [38, 52, 26], [38, 71], [37, 30], [37, 41], [27, 43], [27, 61], [27, 68], [40, 63], [40, 68], [40, 69], [40, 72], [34, 28], [25, 47], [8, 51], [8, 68], [72, 57], [72, 62], [72, 71], [42, 29], [42, 32], [42, 68], [15, 48], [15, 58], [41, 59], [50, 61], [50, 67], [22, 53], [22, 57], [22, 66], [22, 73], [28, 70], [53, 52], [53, 56], [53, 59], [43, 55], [59, 57], [59, 70], [29, 62], [29, 64], [29, 74], [47, 52], [47, 71], [47, 74], [64, 63], [62, 63], [62, 69], [36, 67]], []]",0.006182474
0.09,"[[[0, 9, 12, 17, 8, 21, 38, 29, 5, 56, 20, 3, 14, 2, 13, 57, 6, 25, 7, 0], [0, 10, 72, 16, 64, 30, 45, 62, 24, 23, 52, 46, 48, 40, 53, 41, 47, 32, 18, 35, 36, 15, 28, 44, 11, 27, 33, 26, 19, 1, 58, 22, 4, 9], [0, 26], [0, 33], [0, 53], [0, 58], [0, 62], [0, 68, 51, 72], [0, 70, 64], [0, 73, 30], [7, 56], [7, 63, 61, 37, 54, 68], [25, 24], [25, 49, 37], [25, 63], [25, 72], [6, 60, 62], [57, 37], [57, 41], [57, 47], [57, 62], [57, 66, 23], [57, 71, 69, 61], [57, 73], [13, 20], [13, 28], [13, 73], [2, 16], [2, 43, 69], [2, 56], [2, 61], [14, 22], [14, 34, 16], [14, 46], [14, 47], [14, 58], [14, 61], [3, 22], [3, 45], [3, 48], [3, 65, 43], [3, 69], [20, 58], [20, 71], [56, 12], [56, 21], [56, 30], [56, 34], [56, 35], [56, 46], [56, 50, 51], [56, 53], [56, 55, 39, 69], [56, 58], [56, 68], [5, 52], [5, 67, 50], [29, 59, 73], [29, 67], [29, 74, 65], [38, 42, 41], [38, 47], [38, 48], [38, 61], [38, 65], [38, 74], [21, 9], [21, 42], [21, 60], [21, 66], [21, 71], [8, 30], [17, 16], [17, 24], [17, 35], [17, 44], [17, 71], [12, 24], [12, 26], [12, 44], [12, 46], [12, 67], [9, 44], [9, 55], [9, 59], [9, 60], [9, 61], [9, 63], [9, 67], [4, 23], [4, 32], [4, 42], [58, 44], [58, 54], [58, 63], [1, 26], [1, 37], [1, 54], [1, 61], [19, 32], [19, 40], [19, 61], [19, 66], [26, 37], [26, 65], [33, 64], [33, 67], [27, 15], [27, 28], [27, 34], [27, 41], [27, 46], [27, 52], [27, 61], [11, 51], [11, 53], [11, 70], [11, 73], [44, 34], [44, 36], [44, 37], [44, 65], [44, 72], [28, 35], [28, 48], [28, 66], [28, 69], [15, 47], [15, 48], [15, 54], [15, 67], [36, 47], [36, 54], [36, 55], [36, 60], [36, 62], [36, 66], [35, 30], [35, 32], [35, 71], [18, 54], [18, 62], [18, 73], [32, 50], [32, 52], [47, 46], [47, 54], [47, 70], [47, 73], [41, 61], [41, 74], [53, 51], [53, 71], [53, 73], [40, 54], [40, 60], [40, 67], [40, 70], [48, 54], [48, 74], [46, 65], [46, 69], [46, 70], [52, 51], [52, 69], [52, 72], [24, 69], [24, 71], [45, 39], [45, 64], [30, 72], [64, 49], [64, 67], [64, 71], [54, 63], [37, 71], [61, 74]], []]",0.006931598
