n,blocks,ears per block,time
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,1.75,0.0,0.0001496
3,2.35,0.0,9.970000000000001e-05
4,2.6,0.05,0.0032413
5,3.3,0.05,0.00019955
6,2.75,0.35,0.00024935
7,3.15,0.35,0.0001496
8,3.4,0.4,0.0002494
9,3.0,1.1,0.00024925
10,2.45,1.9,0.0002498
11,2.4,2.7,9.93e-05
12,2.5,3.4,0.0002992
13,2.55,3.75,0.00014965
14,1.9,7.15,0.00024935
15,1.85,7.95,0.00039895
16,1.55,9.7,0.00019955
17,1.4,12.75,0.0002992
18,1.45,12.6,0.00034910000000000003
19,1.1,18.0,0.000349
20,1.4,16.85,0.00034915
21,1.35,22.7,0.000349
22,1.05,26.45,0.00034915
23,1.2,28.5,0.0005484999999999999
24,1.1,32.95,0.0004985500000000001
25,1.2,32.95,0.0005985000000000001
26,1.0,41.95,0.0006981
27,1.1,45.2,0.0007479499999999999
28,1.05,48.85,0.0006482
29,1.05,53.8,0.0006982000000000001
30,1.05,56.05,0.0007480000000000001
31,1.05,66.4,0.0008477000000000001
32,1.0,65.65,0.0011968000000000003
33,1.1,72.25,0.0009324000000000001
34,1.0,80.3,0.0008975000000000002
35,1.05,83.35,0.0010971
36,1.0,92.0,0.00134635
37,1.0,97.95,0.00139635
38,1.0,103.55,0.0011969000000000003
39,1.0,110.2,0.0013962000000000002
40,1.0,117.4,0.0016955000000000002
41,1.0,124.95,0.0018450500000000002
42,1.05,132.45,0.002094349999999999
43,1.0,140.25,0.0021942499999999996
44,1.0,147.4,0.0019447000000000002
45,1.0,157.75,0.0022443999999999997
46,1.0,163.95,0.0020944500000000003
47,1.0,174.55,0.0024932
48,1.0,181.95,0.0025433
49,1.0,188.45,0.0026927500000000003
50,1.0,194.65,0.005185599999999999
51,1.0,209.55,0.0032433999999999996
52,1.0,210.9,0.0031406500000000005
53,1.0,222.2,0.0035872
54,1.0,228.9,0.0036905499999999995
55,1.0,246.95,0.0040916
56,1.0,248.65,0.004189
57,1.0,259.15,0.00449185
58,1.0,274.7,0.004785800000000001
59,1.0,287.35,0.0050869500000000015
60,1.0,291.6,0.00643595
61,1.0,301.0,0.005535900000000002
62,1.0,317.6,0.006034650000000002
63,1.0,327.0,0.0060826000000000005
64,1.0,343.65,0.0071794499999999995
65,1.0,360.6,0.007228099999999999
66,1.0,364.7,0.007537199999999999
67,1.0,374.1,0.007929999999999998
68,1.0,394.6,0.008876250000000002
69,1.0,395.75,0.008826299999999999
70,1.0,423.3,0.011567800000000007
71,1.0,423.45,0.011172250000000003
72,1.0,444.4,0.010571450000000001
73,1.0,453.65,0.011071700000000004
74,1.0,468.25,0.011922250000000004
75,1.0,479.4,0.012169
76,1.0,493.4,0.0128666
77,1.0,511.95,0.013617500000000001
78,1.0,524.0,0.015860500000000003
79,1.0,533.2,0.0149533
80,1.0,564.0,0.02014045
81,1.0,563.2,0.01645435
82,1.0,586.85,0.018605100000000003
83,1.0,595.7,0.0177031
84,1.0,618.0,0.0189498
85,1.0,624.2,0.01935125
86,1.0,653.1,0.021297249999999997
87,1.0,667.05,0.022041850000000005
88,1.0,681.85,0.024644950000000002
89,1.0,692.95,0.02351495
90,1.0,709.1,0.02573315
91,1.0,723.55,0.025289049999999997
92,1.0,742.05,0.02647815
93,1.0,762.05,0.02927035
94,1.0,772.75,0.028524399999999995
95,1.0,791.95,0.030119349999999996
96,1.0,823.55,0.032372700000000004
97,1.0,839.5,0.033260599999999994
98,1.0,845.6,0.0342086
99,1.0,881.15,0.0377213
100,1.0,893.2,0.037601749999999996
