n,blocks,ears per block,time
1,1.0,0.0,0.0
2,1.7,0.0,0.0
3,2.4,0.0,0.0
4,2.7,0.1,9.98e-05
5,3.2,0.0,9.970000000000001e-05
6,3.5,0.0,0.00019940000000000002
7,3.2,0.5,0.0001512
8,2.8,0.5,0.00019889999999999998
9,3.0,1.3,0.0001992
10,2.5,1.1,9.95e-05
11,2.8,1.6,0.00015089999999999998
12,2.3,3.2,0.0002988
13,2.5,4.8,0.0002501
14,1.5,7.4,0.000151
15,1.7,8.3,0.0001508
16,1.2,9.7,0.0002503
17,1.2,13.1,0.00025089999999999997
18,1.4,13.8,0.0002504
19,1.5,12.5,0.00025039999999999996
20,1.1,21.4,0.0003497
21,1.3,21.8,0.00044919999999999997
22,1.2,26.1,0.00044990000000000004
23,1.1,26.3,0.0004496
24,1.2,29.4,0.0005007
25,1.2,39.3,0.0008485
26,1.0,41.3,0.0007002
27,1.1,44.3,0.0008541
28,1.2,47.8,0.0006979
29,1.1,52.7,0.0007483
30,1.1,58.2,0.0008755000000000001
31,1.0,60.6,0.000697
32,1.0,65.9,0.0010008
33,1.0,76.4,0.0011971
34,1.0,81.5,0.0010971
35,1.0,79.7,0.0009973
36,1.1,91.8,0.0009973999999999998
37,1.0,94.9,0.0015958000000000003
38,1.0,103.6,0.0016955999999999998
39,1.0,104.9,0.0017952999999999997
40,1.0,120.9,0.0021941
41,1.0,120.2,0.0025931
42,1.0,133.5,0.0023939
43,1.0,134.9,0.0020942999999999995
44,1.0,147.7,0.0026927
45,1.0,151.7,0.0023936
46,1.0,162.0,0.0024936
47,1.0,174.3,0.0025929
48,1.0,177.0,0.0028921000000000003
49,1.0,178.9,0.0028923000000000004
50,1.0,197.7,0.0031918000000000003
51,1.0,202.0,0.0033910000000000004
52,1.0,213.9,0.0037899
53,1.0,220.2,0.0038896
54,1.0,235.9,0.004187499999999999
55,1.0,237.7,0.0041888
56,1.0,261.6,0.004587599999999999
57,1.0,264.5,0.0072805000000000005
58,1.0,263.7,0.004787199999999999
59,1.0,289.2,0.005290799999999999
60,1.0,287.2,0.007967700000000001
61,1.0,307.5,0.005584899999999999
62,1.0,313.0,0.005487999999999999
63,1.0,323.4,0.0060806
64,1.0,340.7,0.0063827
65,1.0,356.6,0.006981200000000002
66,1.0,357.4,0.007182799999999999
67,1.0,375.8,0.007781400000000001
68,1.0,385.0,0.008171999999999999
69,1.0,387.5,0.0081801
70,1.0,411.4,0.008577200000000002
71,1.0,432.5,0.009673999999999999
72,1.0,434.7,0.010072799999999998
73,1.0,444.1,0.0100556
74,1.0,466.2,0.011169799999999999
75,1.0,475.2,0.011671699999999998
76,1.0,487.8,0.011871000000000001
77,1.0,522.0,0.013364599999999999
78,1.0,517.8,0.012729
79,1.0,535.5,0.0139454
80,1.0,551.9,0.014566
81,1.0,562.6,0.014860100000000001
82,1.0,579.8,0.015457599999999998
83,1.0,607.9,0.017150199999999997
84,1.0,618.9,0.0174538
85,1.0,635.3,0.018255999999999998
86,1.0,649.0,0.0191556
87,1.0,663.3,0.0196509
88,1.0,680.7,0.0208453
89,1.0,692.5,0.0215339
90,1.0,712.5,0.0226341
91,1.0,732.2,0.023839899999999997
92,1.0,738.3,0.024138
93,1.0,759.1,0.028172000000000003
94,1.0,758.0,0.0257332
95,1.0,802.0,0.0283293
96,1.0,819.9,0.029523999999999995
97,1.0,837.1,0.0305135
98,1.0,848.1,0.0313161
99,1.0,870.4,0.03331060000000001
