n,blocks,ears per block,time
0,0.0,0.0,0.0
2,0.22,0.44,0.0
4,1.24,2.52,0.0
6,2.56,5.4,5.9839999999999996e-05
8,4.06,9.1,1.996e-05
10,4.6,11.86,2.0019999999999998e-05
12,5.02,14.48,3.9880000000000004e-05
14,4.56,16.46,6.082e-05
16,3.78,18.06,3.974e-05
18,3.32,19.76,5.980000000000001e-05
20,2.6,21.36,5.9420000000000004e-05
22,2.26,22.98,0.00013713999999999998
24,1.78,24.64,7.719999999999999e-05
26,1.76,26.64,0.0007380199999999999
28,1.5,28.34,0.00023935999999999999
30,1.28,30.26,0.00017953999999999998
32,1.32,32.3,0.00019952000000000001
34,1.16,34.14,0.0001363
36,1.14,36.12,0.00011018
38,1.12,38.1,0.00019942
40,1.06,40.06,0.00012241999999999998
42,1.02,42.02,0.00027922
44,1.06,44.04,0.00019686
46,1.04,46.04,0.00026918
48,1.02,48.02,0.00025593999999999997
50,1.0,50.0,0.0003587
52,1.02,52.02,0.00033216
54,1.0,54.0,0.00039942
56,1.0,56.0,0.00035883999999999997
58,1.0,58.0,0.00033615999999999995
60,1.0,60.0,0.0003561399999999999
62,1.0,62.0,0.0007583799999999998
64,1.0,64.0,0.0005936600000000002
66,1.0,66.0,0.00057846
68,1.0,68.0,0.00043606000000000005
70,1.0,70.0,0.0005978200000000001
72,1.0,72.0,0.0006688200000000001
74,1.0,74.0,0.00035506000000000003
76,1.0,76.0,0.0005773400000000002
78,1.0,78.0,0.0006398999999999999
80,1.0,80.0,0.0007970399999999998
82,1.0,82.0,0.0007790399999999998
84,1.0,84.0,0.00076544
86,1.0,86.0,0.0008129200000000001
88,1.0,88.0,0.0007911199999999998
90,1.0,90.0,0.00077622
92,1.0,92.0,0.00082506
94,1.0,94.0,0.0009287599999999996
96,1.0,96.0,0.0010094599999999996
98,1.0,98.0,0.0007949599999999998
100,1.0,100.0,0.0010409199999999999
102,1.0,102.0,0.0008100999999999998
104,1.0,104.0,0.0008371199999999997
106,1.0,106.0,0.0010368799999999998
108,1.0,108.0,0.0010542599999999996
110,1.0,110.0,0.0010345399999999996
112,1.0,112.0,0.0011147399999999997
114,1.0,114.0,0.0012326599999999991
116,1.0,116.0,0.0012279799999999994
118,1.0,118.0,0.0012813799999999993
120,1.0,120.0,0.0014301799999999999
122,1.0,122.0,0.0015572799999999992
124,1.0,124.0,0.001413899999999999
126,1.0,126.0,0.001500719999999999
128,1.0,128.0,0.0019335399999999988
130,1.0,130.0,0.0015549999999999997
132,1.0,132.0,0.0015932999999999995
134,1.0,134.0,0.0017391599999999991
136,1.0,136.0,0.0017549399999999993
138,1.0,138.0,0.002892779999999998
140,1.0,140.0,0.0017086399999999991
142,1.0,142.0,0.0017340599999999995
144,1.0,144.0,0.0024019199999999992
146,1.0,146.0,0.0019651799999999995
148,1.0,148.0,0.0020675199999999998
150,1.0,150.0,0.0021127199999999994
152,1.0,152.0,0.0021732799999999992
154,1.0,154.0,0.0022440999999999984
156,1.0,156.0,0.0027651999999999998
158,1.0,158.0,0.0023906199999999987
160,1.0,160.0,0.0030428199999999977
162,1.0,162.0,0.0023814399999999986
164,1.0,164.0,0.0025836799999999992
166,1.0,166.0,0.0026020599999999994
168,1.0,168.0,0.002654499999999999
170,1.0,170.0,0.002655119999999999
172,1.0,172.0,0.0027449799999999984
174,1.0,174.0,0.002908859999999999
176,1.0,176.0,0.002905639999999999
178,1.0,178.0,0.0030222399999999972
180,1.0,180.0,0.0029800599999999984
182,1.0,182.0,0.0037079599999999976
184,1.0,184.0,0.003614579999999998
186,1.0,186.0,0.0031584199999999986
188,1.0,188.0,0.003299319999999999
190,1.0,190.0,0.003883639999999999
192,1.0,192.0,0.003963319999999998
194,1.0,194.0,0.003433679999999999
196,1.0,196.0,0.003537719999999998
198,1.0,198.0,0.003991939999999998
200,1.0,200.0,0.003425579999999998
