n,blocks,ears per block,time
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,1.45,0.0,0.00019810000000000002
3,1.75,0.05,9.975000000000001e-05
4,1.45,0.6,0.0012969000000000001
5,1.25,1.3,4.8349999999999996e-05
6,1.25,2.9,0.00014994999999999999
7,1.0,5.65,0.00019850000000000003
8,1.0,7.15,0.00015110000000000001
9,1.1,9.75,0.0002494
10,1.0,13.45,0.00014935
11,1.0,17.5,0.00029925
12,1.05,20.7,0.00024945
13,1.0,26.45,0.00039884999999999996
14,1.0,32.3,0.000349
15,1.0,37.65,0.00044879999999999996
16,1.0,47.15,0.0006483
17,1.0,51.25,0.0005983500000000001
18,1.0,60.85,0.0005983
19,1.0,66.65,0.0006483
20,1.0,74.5,0.0007978499999999999
21,1.0,83.9,0.0019947499999999996
22,1.0,95.35,0.00099735
23,1.0,106.75,0.0010472000000000003
24,1.0,114.3,0.0011469
25,1.0,127.05,0.0014462
26,1.0,140.45,0.0019458500000000003
27,1.0,147.95,0.0017442500000000004
28,1.0,162.0,0.0017930999999999995
29,1.0,173.8,0.002393599999999999
30,1.0,187.1,0.0023572
31,1.0,197.95,0.0023935500000000004
32,1.0,219.4,0.0030372500000000005
33,1.0,232.35,0.0032413000000000003
34,1.0,242.95,0.0035432
35,1.0,266.75,0.0040370499999999995
36,1.0,279.9,0.0041406
37,1.0,293.95,0.0047303
38,1.0,318.25,0.005186800000000001
39,1.0,336.95,0.005783650000000001
40,1.0,350.85,0.0061847000000000004
41,1.0,367.3,0.00668175
42,1.0,391.55,0.007330400000000001
43,1.0,406.2,0.007831000000000001
44,1.0,425.05,0.008576500000000003
45,1.0,452.75,0.009528650000000003
46,1.0,469.7,0.010224300000000002
47,1.0,495.35,0.011420700000000002
48,1.0,517.9,0.012393150000000002
49,1.0,537.2,0.0132161
50,1.0,567.25,0.01531385
51,1.0,588.8,0.01543205
52,1.0,610.85,0.0197972
53,1.0,640.8,0.02122765
54,1.0,664.25,0.02194095
55,1.0,689.15,0.022592999999999995
56,1.0,717.2,0.02837775
57,1.0,744.4,0.0242061
58,1.0,768.75,0.03241215
59,1.0,802.3,0.028821149999999997
60,1.0,829.4,0.03285795
61,1.0,855.5,0.03296519999999999
62,1.0,890.05,0.0344594
63,1.0,922.5,0.0367012
64,1.0,935.15,0.0381992
65,1.0,971.9,0.04089029999999999
66,1.0,997.4,0.042988649999999996
67,1.0,1040.7,0.048695800000000004
68,1.0,1078.15,0.049574599999999996
69,1.0,1097.4,0.060339750000000004
70,1.0,1137.85,0.06126515000000001
71,1.0,1174.6,0.0702133
72,1.0,1207.0,0.06426239999999998
73,1.0,1240.3,0.07444840000000001
74,1.0,1281.9,0.0782753
75,1.0,1309.75,0.08173165
76,1.0,1348.3,0.0819058
77,1.0,1386.7,0.08398734999999999
78,1.0,1422.55,0.08861185
79,1.0,1459.75,0.0958126
80,1.0,1491.2,0.1028379
81,1.0,1540.1,0.10526360000000001
82,1.0,1580.2,0.1089327
83,1.0,1620.5,0.11385344999999998
84,1.0,1650.65,0.12185614999999998
85,1.0,1690.6,0.12424414999999997
86,1.0,1752.05,0.13526224999999997
87,1.0,1803.85,0.1439594
88,1.0,1825.4,0.14745855
89,1.0,1872.55,0.15633955000000002
90,1.0,1916.0,0.16206249999999997
91,1.0,1957.75,0.17054295000000003
92,1.0,2003.95,0.1785544
93,1.0,2052.5,0.18622565
94,1.0,2096.15,0.19870125
95,1.0,2140.65,0.2041138
96,1.0,2181.2,0.21040135
97,1.0,2225.55,0.21837940000000003
98,1.0,2287.5,0.23011055000000008
99,1.0,2322.95,0.23695430000000006
100,1.0,2376.25,0.24753205
