n,blocks,ears per block,time
21,1.0,190.0,0.0035369000000000004
22,1.0,199.0,0.00234795
23,1.0,208.0,0.0026099000000000005
24,1.0,217.0,0.00274305
25,1.0,226.0,0.0032386000000000003
26,1.0,235.0,0.0031370499999999997
27,1.0,244.0,0.0033885499999999997
28,1.0,253.0,0.00363965
29,1.0,262.0,0.0042836
30,1.0,271.0,0.004087800000000001
31,1.0,280.0,0.004587400000000001
32,1.0,289.0,0.004800650000000002
33,1.0,298.0,0.004889
34,1.0,307.0,0.0053805500000000004
35,1.0,316.0,0.005391050000000001
36,1.0,325.0,0.005732000000000002
37,1.0,334.0,0.006086750000000001
38,1.0,343.0,0.006184300000000002
39,1.0,352.0,0.007457449999999999
40,1.0,361.0,0.006932349999999999
41,1.0,370.0,0.006937200000000002
42,1.0,379.0,0.007625600000000001
43,1.0,388.0,0.0077318
44,1.0,397.0,0.008581300000000002
45,1.0,406.0,0.008335200000000001
46,1.0,415.0,0.008824900000000004
47,1.0,424.0,0.009325150000000003
48,1.0,433.0,0.009681000000000004
49,1.0,442.0,0.010225350000000003
50,1.0,451.0,0.010520350000000003
51,1.0,460.0,0.011871400000000002
52,1.0,469.0,0.011294700000000003
53,1.0,478.0,0.011713150000000002
54,1.0,487.0,0.011571900000000003
55,1.0,496.0,0.012021100000000003
56,1.0,505.0,0.012515050000000003
57,1.0,514.0,0.013016500000000004
58,1.0,523.0,0.0137103
59,1.0,532.0,0.013721800000000001
60,1.0,541.0,0.01410805
61,1.0,550.0,0.014706550000000002
62,1.0,559.0,0.014957400000000001
63,1.0,568.0,0.018252099999999997
64,1.0,577.0,0.0162582
65,1.0,586.0,0.0166
66,1.0,595.0,0.017258
67,1.0,604.0,0.0176099
68,1.0,613.0,0.018255399999999998
69,1.0,622.0,0.0186512
70,1.0,631.0,0.019750499999999997
71,1.0,640.0,0.019594800000000002
72,1.0,649.0,0.020095999999999996
73,1.0,658.0,0.02204375
74,1.0,667.0,0.0222917
75,1.0,676.0,0.022001299999999998
76,1.0,685.0,0.022345150000000005
77,1.0,694.0,0.023487550000000003
78,1.0,703.0,0.023904500000000002
79,1.0,712.0,0.024185400000000003
80,1.0,721.0,0.02498115
81,1.0,730.0,0.025573599999999995
82,1.0,739.0,0.02597795
83,1.0,748.0,0.026489599999999995
84,1.0,757.0,0.027447850000000003
85,1.0,766.0,0.0290712
86,1.0,775.0,0.028572999999999998
87,1.0,784.0,0.03045155
88,1.0,793.0,0.029819899999999993
89,1.0,802.0,0.03176709999999999
90,1.0,811.0,0.031162950000000005
91,1.0,820.0,0.03159065
92,1.0,829.0,0.033311850000000004
93,1.0,838.0,0.03299035
94,1.0,847.0,0.03456415
95,1.0,856.0,0.03671030000000001
96,1.0,865.0,0.03496475
97,1.0,874.0,0.03616255
98,1.0,883.0,0.03695255
99,1.0,892.0,0.037247749999999996
100,1.0,901.0,0.03944335
