n,blocks,ears per block,time
22,1.0,22.0,0.00020226
24,1.0,24.0,0.00032096
26,1.0,26.0,0.00036463999999999995
28,1.0,28.0,0.00015999999999999996
30,1.0,30.0,0.00020083999999999998
32,1.0,32.0,0.00045876
34,1.0,34.0,0.0002956
36,1.0,36.0,0.00026064
38,1.0,38.0,0.0005394200000000001
40,1.0,40.0,0.00037952000000000005
42,1.0,42.0,0.0003986
44,1.0,44.0,0.0005224800000000001
46,1.0,46.0,0.00048668
48,1.0,48.0,0.00037961999999999995
50,1.0,50.0,0.00042946
52,1.0,52.0,0.0004119
54,1.0,54.0,0.0005799
56,1.0,56.0,0.00033664
58,1.0,58.0,0.00054024
60,1.0,60.0,0.0005391200000000001
62,1.0,62.0,0.0005744000000000001
64,1.0,64.0,0.0005873
66,1.0,66.0,0.00057896
68,1.0,68.0,0.00051384
70,1.0,70.0,0.00063418
72,1.0,72.0,0.0006173000000000001
74,1.0,74.0,0.0006382799999999999
76,1.0,76.0,0.00075004
78,1.0,78.0,0.0008326199999999997
80,1.0,80.0,0.0008039799999999999
82,1.0,82.0,0.00075694
84,1.0,84.0,0.0008419599999999996
86,1.0,86.0,0.0005893600000000001
88,1.0,88.0,0.0007553799999999999
90,1.0,90.0,0.0008280799999999998
92,1.0,92.0,0.0007387800000000001
94,1.0,94.0,0.0008986799999999996
96,1.0,96.0,0.0008747199999999995
98,1.0,98.0,0.0008984199999999998
100,1.0,100.0,0.0010008999999999997
102,1.0,102.0,0.0013754399999999993
104,1.0,104.0,0.00121148
106,1.0,106.0,0.0012738799999999992
108,1.0,108.0,0.002296199999999999
110,1.0,110.0,0.0015421799999999998
112,1.0,112.0,0.001820079999999999
114,1.0,114.0,0.0017359199999999989
116,1.0,116.0,0.0014925399999999994
118,1.0,118.0,0.0012926399999999994
120,1.0,120.0,0.0014766799999999989
122,1.0,122.0,0.0015063599999999991
124,1.0,124.0,0.0014283599999999994
126,1.0,126.0,0.0012229799999999998
128,1.0,128.0,0.0014205399999999992
130,1.0,130.0,0.0014750799999999997
132,1.0,132.0,0.0014202199999999992
134,1.0,134.0,0.0013788799999999992
136,1.0,136.0,0.001317419999999999
138,1.0,138.0,0.001703079999999999
140,1.0,140.0,0.0014825199999999989
142,1.0,142.0,0.0017029999999999994
144,1.0,144.0,0.0013540399999999995
146,1.0,146.0,0.0015514799999999992
148,1.0,148.0,0.00125278
150,1.0,150.0,0.0016350999999999996
152,1.0,152.0,0.0017195799999999994
154,1.0,154.0,0.0019350199999999987
156,1.0,156.0,0.0017402199999999996
158,1.0,158.0,0.0019899599999999994
160,1.0,160.0,0.001579359999999999
162,1.0,162.0,0.0017307199999999994
164,1.0,164.0,0.0016858599999999995
166,1.0,166.0,0.0017624599999999993
168,1.0,168.0,0.0017004599999999991
170,1.0,170.0,0.002253499999999999
172,1.0,172.0,0.0017156999999999993
174,1.0,174.0,0.0020265599999999984
176,1.0,176.0,0.0020142799999999985
178,1.0,178.0,0.001757159999999999
180,1.0,180.0,0.0016956999999999988
182,1.0,182.0,0.0029520199999999983
184,1.0,184.0,0.004304439999999998
186,1.0,186.0,0.0029509799999999984
188,1.0,188.0,0.0023937599999999983
190,1.0,190.0,0.0018757799999999992
192,1.0,192.0,0.0023923799999999986
194,1.0,194.0,0.002035079999999999
196,1.0,196.0,0.002391999999999999
198,1.0,198.0,0.002232039999999999
200,1.0,200.0,0.001875099999999999
