n,blocks,ears per block,time
1,1.0,0.0,9.970000000000001e-05
2,1.0,0.0,0.0
3,1.0,1.0,0.00019950000000000002
4,1.0,3.0,9.970000000000001e-05
5,1.0,4.0,0.00019940000000000002
6,1.0,5.0,9.970000000000001e-05
7,1.0,6.0,9.970000000000001e-05
8,1.0,7.0,0.00039889999999999994
9,1.0,8.0,0.00019950000000000002
10,1.0,9.0,9.990000000000002e-05
11,1.0,10.0,0.00019950000000000002
12,1.0,11.0,0.00039899999999999994
13,1.0,12.0,0.0001993
14,1.0,13.0,0.0002992
15,1.0,14.0,0.00039889999999999994
16,1.0,15.0,0.0001993
17,1.0,16.0,0.0006982999999999999
18,1.0,17.0,0.0004986
19,1.0,18.0,0.0004985999999999999
20,1.0,19.0,0.0002992
21,1.0,20.0,0.00039900000000000005
22,1.0,21.0,0.0006981000000000001
23,1.0,22.0,0.00019950000000000002
24,1.0,23.0,0.0005981999999999999
25,1.0,24.0,0.0022938
26,1.0,25.0,0.0007977999999999999
27,1.0,26.0,0.0005985000000000001
28,1.0,27.0,0.0014959
29,1.0,28.0,0.0005984
30,1.0,29.0,0.0002993
31,1.0,30.0,0.0005984
32,1.0,31.0,0.0004986999999999999
33,1.0,32.0,0.0006981999999999998
34,1.0,33.0,0.0006980999999999999
35,1.0,34.0,0.0005982999999999999
36,1.0,35.0,0.0008976999999999999
37,1.0,36.0,0.0005983000000000001
38,1.0,37.0,0.0007980000000000001
39,1.0,38.0,0.0009972
40,1.0,39.0,0.0007979999999999999
41,1.0,40.0,0.0007979
42,1.0,41.0,0.0006981999999999998
43,1.0,42.0,0.001097
44,1.0,43.0,0.0008976000000000001
45,1.0,44.0,0.0008976000000000001
46,1.0,45.0,0.0008975999999999998
47,1.0,46.0,0.0009974
48,1.0,47.0,0.0010971
49,1.0,48.0,0.0010969999999999997
50,1.0,49.0,0.0010971
51,1.0,50.0,0.0010973
52,1.0,51.0,0.0011966999999999998
53,1.0,52.0,0.0009974
54,1.0,53.0,0.0011968
55,1.0,54.0,0.0012967
56,1.0,55.0,0.000997
57,1.0,56.0,0.0009973
58,1.0,57.0,0.0010972
59,1.0,58.0,0.0010972
60,1.0,59.0,0.0012965
61,1.0,60.0,0.0011969
62,1.0,61.0,0.0013963
63,1.0,62.0,0.001097
64,1.0,63.0,0.0012967
65,1.0,64.0,0.0013962
66,1.0,65.0,0.0014960000000000002
67,1.0,66.0,0.0013964
68,1.0,67.0,0.0013961999999999998
69,1.0,68.0,0.0014963
70,1.0,69.0,0.0012966
71,1.0,70.0,0.0012965000000000001
72,1.0,71.0,0.0013961000000000002
73,1.0,72.0,0.0015955999999999998
74,1.0,73.0,0.0018949000000000001
75,1.0,74.0,0.0018948999999999997
76,1.0,75.0,0.0014662999999999998
77,1.0,76.0,0.0021939999999999998
78,1.0,77.0,0.0017951999999999998
79,1.0,78.0,0.001496
80,1.0,79.0,0.0016954000000000001
81,1.0,80.0,0.0015956999999999998
82,1.0,81.0,0.0017952999999999997
83,1.0,82.0,0.0018949999999999998
84,1.0,83.0,0.0018949000000000001
85,1.0,84.0,0.0039895
86,1.0,85.0,0.0015961
87,1.0,86.0,0.004487999999999999
88,1.0,87.0,0.0036901000000000004
89,1.0,88.0,0.002294
90,1.0,89.0,0.001995
91,1.0,90.0,0.0019946
92,1.0,91.0,0.0020962
93,1.0,92.0,0.0022939
94,1.0,93.0,0.0021941
95,1.0,94.0,0.0020943
96,1.0,95.0,0.0022942
97,1.0,96.0,0.0041887999999999995
98,1.0,97.0,0.0024935
99,1.0,98.0,0.0020945
