n,blocks,ears per block,time
1,1.0,0.0,9.970000000000001e-05
2,1.0,0.0,0.0
3,1.0,1.0,9.970000000000001e-05
4,1.0,3.0,0.0
5,1.0,6.0,0.00029810000000000004
6,1.0,10.0,9.98e-05
7,1.0,15.0,0.0001993
8,1.0,21.0,0.0004987
9,1.0,28.0,0.00039890000000000005
10,1.0,36.0,0.0002992
11,1.0,45.0,0.0005984
12,1.0,55.0,0.0006980999999999999
13,1.0,66.0,0.0008975999999999999
14,1.0,78.0,0.0008975999999999998
15,1.0,91.0,0.0007979
16,1.0,105.0,0.0011966999999999998
17,1.0,120.0,0.0010969
18,1.0,136.0,0.0014961
19,1.0,153.0,0.0017951999999999998
20,1.0,171.0,0.0019946
21,1.0,190.0,0.0023937
22,1.0,210.0,0.0026928
23,1.0,231.0,0.005684700000000002
24,1.0,253.0,0.0036901000000000004
25,1.0,276.0,0.0038899000000000004
26,1.0,300.0,0.0045877999999999995
27,1.0,325.0,0.005186799999999999
28,1.0,351.0,0.007377600000000001
29,1.0,378.0,0.008776599999999999
30,1.0,406.0,0.009275499999999999
31,1.0,435.0,0.009872899999999999
32,1.0,465.0,0.0105676
33,1.0,496.0,0.0115717
34,1.0,528.0,0.013658899999999998
35,1.0,561.0,0.014760600000000002
36,1.0,595.0,0.016786799999999998
37,1.0,630.0,0.0173566
38,1.0,666.0,0.019349199999999997
39,1.0,703.0,0.021342799999999995
40,1.0,741.0,0.0235398
41,1.0,780.0,0.0270245
42,1.0,820.0,0.0328332
43,1.0,861.0,0.031122499999999997
44,1.0,903.0,0.0338151
45,1.0,946.0,0.03719020000000001
46,1.0,990.0,0.04438410000000001
47,1.0,1035.0,0.0466818
48,1.0,1081.0,0.047473600000000005
49,1.0,1128.0,0.05130570000000001
50,1.0,1176.0,0.0556522
51,1.0,1225.0,0.0704148
52,1.0,1275.0,0.0700053
53,1.0,1326.0,0.07862130000000002
54,1.0,1378.0,0.07624329999999999
55,1.0,1431.0,0.0819839
56,1.0,1485.0,0.0881769
57,1.0,1540.0,0.0948565
58,1.0,1596.0,0.10131540000000001
59,1.0,1653.0,0.1088405
60,1.0,1711.0,0.12000459999999999
61,1.0,1770.0,0.12485299999999999
62,1.0,1830.0,0.1326823
63,1.0,1891.0,0.14635139999999996
64,1.0,1953.0,0.15413870000000002
65,1.0,2016.0,0.17863040000000002
66,1.0,2080.0,0.18072660000000002
67,1.0,2145.0,0.1915057
68,1.0,2211.0,0.2018974
69,1.0,2278.0,0.2113873
70,1.0,2346.0,0.2240278
71,1.0,2415.0,0.2403375
72,1.0,2485.0,0.25416300000000003
73,1.0,2556.0,0.26601030000000003
74,1.0,2628.0,0.2812732
75,1.0,2701.0,0.29935410000000007
76,1.0,2775.0,0.336517
77,1.0,2850.0,0.36113320000000004
78,1.0,2926.0,0.337415
79,1.0,3003.0,0.35993280000000005
80,1.0,3081.0,0.4104026
81,1.0,3160.0,0.45077729999999994
82,1.0,3240.0,0.43892489999999995
83,1.0,3321.0,0.52916
84,1.0,3403.0,0.5156365
85,1.0,3486.0,0.6016722
86,1.0,3570.0,0.6112021
87,1.0,3655.0,0.7079710000000001
88,1.0,3741.0,0.8260128
89,1.0,3828.0,0.8228642
90,1.0,3916.0,0.7979894000000001
91,1.0,4005.0,0.8215541999999999
92,1.0,4095.0,1.0307095
93,1.0,4186.0,0.9276222000000001
94,1.0,4278.0,0.8556858
95,1.0,4371.0,0.9826937999999998
96,1.0,4465.0,1.2853253
97,1.0,4560.0,1.1863153999999998
98,1.0,4656.0,1.4543206999999998
99,1.0,4753.0,1.2462552000000002
