n,blocks,ears per block,time
1,1.0,1.0,0.0
2,1.0,0.0,0.0
3,1.0,1.0,0.00019960000000000003
4,1.0,1.0,0.00019950000000000002
5,1.0,1.0,0.0
6,1.0,1.0,9.970000000000001e-05
7,1.0,1.0,0.0007977999999999999
8,1.0,1.0,9.990000000000002e-05
9,1.0,1.0,0.0001992
10,1.0,1.0,0.0005987
11,1.0,1.0,0.0005983999999999999
12,1.0,1.0,0.00019950000000000002
13,1.0,1.0,0.0002991
14,1.0,1.0,0.00044469999999999997
15,1.0,1.0,9.92e-05
16,1.0,1.0,0.0001996
17,1.0,1.0,0.0004985999999999999
18,1.0,1.0,0.00019950000000000002
19,1.0,1.0,0.0002992
20,1.0,1.0,0.00019950000000000002
21,1.0,1.0,0.00039889999999999994
22,1.0,1.0,0.0007979
23,1.0,1.0,0.00019960000000000003
24,1.0,1.0,0.00039880000000000004
25,1.0,1.0,0.0006982000000000001
26,1.0,1.0,0.0005983000000000001
27,1.0,1.0,0.0002992
28,1.0,1.0,0.0006980999999999999
29,1.0,1.0,0.0004987
30,1.0,1.0,0.0008976999999999999
31,1.0,1.0,0.0004985999999999999
32,1.0,1.0,0.0008977000000000001
33,1.0,1.0,0.0008975000000000001
34,1.0,1.0,0.0012967
35,1.0,1.0,0.0010969999999999999
36,1.0,1.0,0.0012966
37,1.0,1.0,0.0006981999999999998
38,1.0,1.0,0.0009847
39,1.0,1.0,0.0007982
40,1.0,1.0,0.0009973
41,1.0,1.0,0.0010999
42,1.0,1.0,0.0007979
43,1.0,1.0,0.0007979999999999999
44,1.0,1.0,0.0006563000000000001
45,1.0,1.0,0.0008973999999999999
46,1.0,1.0,0.0012964
47,1.0,1.0,0.0008973999999999999
48,1.0,1.0,0.0007777000000000001
49,1.0,1.0,0.0010971
50,1.0,1.0,0.0012121999999999999
51,1.0,1.0,0.0013961000000000002
52,1.0,1.0,0.0009807
53,1.0,1.0,0.0009882
54,1.0,1.0,0.0011967
55,1.0,1.0,0.0011969000000000003
56,1.0,1.0,0.0007982999999999998
57,1.0,1.0,0.0010246
58,1.0,1.0,0.001086
59,1.0,1.0,0.0006982000000000001
60,1.0,1.0,0.0027926
61,1.0,1.0,0.0022939
62,1.0,1.0,0.0018950000000000002
63,1.0,1.0,0.0014957999999999998
64,1.0,1.0,0.0013964
65,1.0,1.0,0.0010971
66,1.0,1.0,0.0013963
67,1.0,1.0,0.0016466000000000002
68,1.0,1.0,0.0015179
69,1.0,1.0,0.0013835999999999998
70,1.0,1.0,0.0011802999999999998
71,1.0,1.0,0.0009973999999999998
72,1.0,1.0,0.0014793999999999999
73,1.0,1.0,0.0012963999999999999
74,1.0,1.0,0.0013962
75,1.0,1.0,0.0011968
76,1.0,1.0,0.0014096
77,1.0,1.0,0.0011966000000000001
78,1.0,1.0,0.0014954
79,1.0,1.0,0.0013963
80,1.0,1.0,0.0008981
81,1.0,1.0,0.0008978999999999999
82,1.0,1.0,0.0016924000000000002
83,1.0,1.0,0.0020803
84,1.0,1.0,0.0016801
85,1.0,1.0,0.0014966000000000003
86,1.0,1.0,0.0044807
87,1.0,1.0,0.0017951000000000002
88,1.0,1.0,0.0015960000000000002
89,1.0,1.0,0.0013961999999999998
90,1.0,1.0,0.001496
91,1.0,1.0,0.0014960999999999998
92,1.0,1.0,0.0016824999999999995
93,1.0,1.0,0.0018914000000000001
94,1.0,1.0,0.0018265
95,1.0,1.0,0.0017388
96,1.0,1.0,0.0016960000000000002
97,1.0,1.0,0.0015150999999999997
98,1.0,1.0,0.0016133000000000002
99,1.0,1.0,0.0016956000000000002
