n,blocks,ears per block,time
1,1.0,0.0,0.00022939
11,2.62,2.66,0.00016955
21,1.24,22.45,0.00035933000000000004
31,1.08,63.2,0.0006980899999999995
41,1.01,122.23,0.0016360999999999988
51,1.0,208.12,0.002871539999999998
61,1.0,304.3,0.00541536
71,1.0,427.19,0.00977422
81,1.0,570.44,0.015028329999999989
91,1.0,727.79,0.026986150000000007
101,1.0,910.27,0.03857233000000001
111,1.0,1110.23,0.05868677000000002
121,1.0,1333.03,0.08216063000000001
131,1.0,1568.77,0.10496336000000005
141,1.0,1836.46,0.14015247999999994
151,1.0,2110.27,0.18437741000000007
161,1.0,2417.06,0.2489526099999999
171,1.0,2750.24,0.31412744
181,1.0,3076.08,0.38960906999999984
191,1.0,3441.88,0.4871287399999996
201,1.0,3824.06,0.6017065699999999
211,1.0,4223.09,0.7303987399999998
221,1.0,4644.05,0.8803109900000001
231,1.0,5074.73,1.0494347500000003
241,1.0,5541.41,1.24608033
251,1.0,6015.52,1.4672764099999998
261,1.0,6523.59,1.71174532
271,1.0,7050.63,2.0010237400000004
281,1.0,7578.4,2.314528819999999
291,1.0,8133.33,2.6735270699999996
