p,blocks,ears per block,time
0.0,100.0,0.0,0.00687225
0.05,1.71,146.84,0.002832949999999998
0.1,1.01,397.7,0.009768779999999998
0.15,1.0,638.94,0.022767510000000008
0.2,1.0,888.24,0.03895625
0.25,1.0,1132.25,0.05708898999999998
0.3,1.0,1384.29,0.08369965000000004
0.35,1.0,1627.3,0.14071198
0.4,1.0,1882.54,0.17008389
0.45,1.0,2131.14,0.21944396999999996
0.5,1.0,2373.22,0.24114280999999996
0.55,1.0,2623.92,0.29447603999999994
0.6,1.0,2870.67,0.34686506999999994
0.65,1.0,3124.46,0.4170016699999999
0.7,1.0,3363.49,0.5078794999999999
0.75,1.0,3614.25,0.5707422300000002
0.8,1.0,3861.48,0.60095605
0.85,1.0,4109.38,0.67277143
0.9,1.0,4354.74,0.7539529699999998
0.95,1.0,4604.68,0.8416922100000002
1.0,1.0,4851.0,0.9344839500000002
