n,blocks,ears per block,time
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,1.55,0.0,0.00019944999999999997
3,1.45,0.05,0.0
4,1.55,0.75,0.0013478000000000001
5,1.1,1.5,4.845e-05
6,1.2,2.5,0.0001496
7,1.1,4.65,0.00014955
8,1.05,7.2,0.00019805000000000002
9,1.05,10.15,0.00044879999999999996
10,1.0,12.15,0.00025035
11,1.0,17.9,0.00034910000000000003
12,1.0,22.05,0.00034905000000000005
13,1.0,26.6,0.0002992
14,1.0,31.95,0.00034899999999999997
15,1.1,37.95,0.0004486999999999999
16,1.0,47.15,0.00049865
17,1.0,49.85,0.00039895
18,1.0,60.35,0.00054845
19,1.0,68.25,0.0011470999999999999
20,1.0,76.65,0.00109705
21,1.0,84.95,0.001546
22,1.0,95.25,0.0011470000000000002
23,1.0,104.25,0.0011471
24,1.0,115.7,0.0013962000000000002
25,1.0,125.0,0.0013962000000000002
26,1.0,137.05,0.00149605
27,1.0,151.7,0.0016955999999999998
28,1.0,159.6,0.0018442999999999997
29,1.0,173.3,0.00209445
30,1.0,188.65,0.00244345
31,1.0,201.5,0.0026929
32,1.0,221.75,0.00304145
33,1.0,227.7,0.0032414000000000006
34,1.0,249.45,0.0035404000000000004
35,1.0,259.4,0.00388965
36,1.0,281.2,0.0046375
37,1.0,299.0,0.00499225
38,1.0,315.4,0.005635100000000001
39,1.0,332.05,0.0056847500000000014
40,1.0,345.85,0.006233400000000002
41,1.0,370.1,0.00713235
42,1.0,387.8,0.0090336
43,1.0,417.35,0.008775050000000001
44,1.0,431.85,0.009080300000000003
45,1.0,458.15,0.010320200000000003
46,1.0,473.2,0.010872850000000003
47,1.0,498.75,0.012070400000000005
48,1.0,515.8,0.012865200000000002
49,1.0,539.95,0.013959500000000003
50,1.0,558.95,0.015906800000000002
51,1.0,593.0,0.01765425
52,1.0,611.65,0.018868599999999996
53,1.0,633.0,0.01889615
54,1.0,653.35,0.020146750000000005
55,1.0,699.7,0.021784349999999994
56,1.0,713.65,0.022232850000000002
57,1.0,739.35,0.023939299999999997
58,1.0,774.0,0.02578995
59,1.0,797.5,0.02767365
60,1.0,825.7,0.029672299999999995
61,1.0,852.25,0.0329197
62,1.0,889.7,0.03440705
63,1.0,921.75,0.03962095
64,1.0,942.85,0.0412201
65,1.0,978.25,0.044451000000000004
66,1.0,1005.75,0.042845299999999996
67,1.0,1045.05,0.04648359999999999
68,1.0,1068.5,0.047125600000000004
69,1.0,1095.4,0.04982145
70,1.0,1141.35,0.0549061
71,1.0,1166.9,0.057842450000000004
72,1.0,1210.85,0.06123460000000001
73,1.0,1249.4,0.06517905
74,1.0,1280.15,0.06692605
75,1.0,1309.4,0.07021800000000002
76,1.0,1351.7,0.0747994
77,1.0,1386.3,0.07878455
78,1.0,1432.3,0.09127760000000001
79,1.0,1453.25,0.10371999999999999
80,1.0,1497.45,0.11308905
81,1.0,1545.7,0.1043264
82,1.0,1588.6,0.1122779
83,1.0,1619.5,0.11715120000000001
84,1.0,1653.45,0.11399309999999999
85,1.0,1703.85,0.11859134999999998
86,1.0,1746.85,0.12563410000000003
87,1.0,1786.45,0.13118565
88,1.0,1824.7,0.13733380000000003
89,1.0,1876.35,0.14485489999999995
90,1.0,1910.65,0.14732399999999998
91,1.0,1970.55,0.15830784999999997
92,1.0,2002.2,0.1629504
93,1.0,2037.05,0.17059975
94,1.0,2091.6,0.17889220000000003
95,1.0,2138.65,0.18816194999999997
96,1.0,2179.45,0.21526505
97,1.0,2240.85,0.22903625
98,1.0,2290.8,0.23909645000000004
99,1.0,2325.45,0.241111
100,1.0,2375.3,0.24493695
