n,blocks,ears per block,time
1,1.0,0.0,0.0
2,2.0,0.0,9.970000000000001e-05
3,3.0,0.0,9.98e-05
4,1.0,1.0,0.00019940000000000002
5,1.0,2.0,0.00039889999999999994
6,1.0,4.0,0.00019950000000000002
7,1.0,6.0,0.000698
8,1.0,9.0,0.00019950000000000002
9,1.0,19.0,0.0002992
10,1.0,24.0,9.96e-05
11,1.0,30.0,0.0011968
12,1.0,37.0,0.0009972
13,1.0,44.0,0.0007977999999999999
14,1.0,52.0,0.0007982
15,1.0,61.0,0.0011967
16,1.0,81.0,0.0013964
17,1.0,92.0,0.0011455999999999999
18,1.0,104.0,0.0010869000000000002
19,1.0,117.0,0.0018949999999999998
20,1.0,131.0,0.0018947999999999999
21,1.0,145.0,0.0022937
22,1.0,160.0,0.002708
23,1.0,176.0,0.0026571999999999998
24,1.0,193.0,0.0030724999999999997
25,1.0,226.0,0.0043549
26,1.0,245.0,0.0060836
27,1.0,265.0,0.004616599999999999
28,1.0,286.0,0.006083999999999998
29,1.0,308.0,0.006543700000000001
30,1.0,331.0,0.0071812
31,1.0,354.0,0.0084435
32,1.0,378.0,0.009014600000000001
33,1.0,403.0,0.0089962
34,1.0,429.0,0.0102264
35,1.0,456.0,0.0118024
36,1.0,505.0,0.014139600000000002
37,1.0,534.0,0.0154862
38,1.0,564.0,0.0169464
39,1.0,595.0,0.0186
40,1.0,627.0,0.020573299999999996
41,1.0,660.0,0.022814100000000004
42,1.0,694.0,0.0250462
43,1.0,728.0,0.028102
44,1.0,763.0,0.029938
45,1.0,799.0,0.038131700000000004
46,1.0,836.0,0.0373207
47,1.0,874.0,0.0387247
48,1.0,913.0,0.045314600000000003
49,1.0,981.0,0.049960799999999986
50,1.0,1022.0,0.050759
51,1.0,1064.0,0.05521040000000001
52,1.0,1107.0,0.06553099999999999
53,1.0,1151.0,0.1009309
54,1.0,1196.0,0.0979294
55,1.0,1242.0,0.0946992
56,1.0,1289.0,0.09633640000000002
57,1.0,1336.0,0.10096990000000002
58,1.0,1384.0,0.0960025
59,1.0,1433.0,0.10422259999999998
60,1.0,1483.0,0.1063278
61,1.0,1534.0,0.12116310000000001
62,1.0,1586.0,0.13243829999999998
63,1.0,1639.0,0.15809009999999998
64,1.0,1729.0,0.1956764
65,1.0,1784.0,0.1660592
66,1.0,1840.0,0.18163989999999997
67,1.0,1897.0,0.1887984
68,1.0,1955.0,0.20045000000000002
69,1.0,2014.0,0.21119249999999998
70,1.0,2074.0,0.2266885
71,1.0,2135.0,0.25976760000000004
72,1.0,2197.0,0.2531881
73,1.0,2259.0,0.302098
74,1.0,2322.0,0.35333570000000003
75,1.0,2386.0,0.3696332
76,1.0,2451.0,0.3034027
77,1.0,2517.0,0.329382
78,1.0,2584.0,0.3354733
79,1.0,2652.0,0.35932449999999994
80,1.0,2721.0,0.3663752
81,1.0,2836.0,0.40272199999999997
82,1.0,2907.0,0.4185402
83,1.0,2979.0,0.43161759999999993
84,1.0,3052.0,0.45283670000000004
85,1.0,3126.0,0.48276330000000006
86,1.0,3201.0,0.5118419
87,1.0,3277.0,0.5499408000000001
88,1.0,3354.0,0.5608650000000001
89,1.0,3432.0,0.5891393
90,1.0,3511.0,0.6141778
91,1.0,3590.0,0.6941934999999999
92,1.0,3670.0,0.6912794999999999
93,1.0,3751.0,0.7143392000000001
94,1.0,3833.0,0.7276828
95,1.0,3916.0,0.7459315000000001
96,1.0,4000.0,0.7941387
97,1.0,4085.0,0.8520268
98,1.0,4171.0,0.8893826999999999
99,1.0,4258.0,0.9207694
